City_Code,Accomodation_Type,Reco_Insurance_Type,Is_Spouse,Health Indicator,Holding_Policy_Duration,Health Indicator_Missing_Flag,Holding_Policy_Duration_Missing_Flag,Holding_Policy_Type_Missing_Flag,Region_Code,Upper_Age,Lower_Age,Reco_Policy_Cat,Response,Reco_Policy_Premium_bin,Holding_Policy_Type_bin,Response_KMeans_Clusters
22,0,1,1,1,15,0,1,1,2232,50,49,18,1,3,0,2
33,0,1,1,2,10,0,0,0,3350,61,30,19,1,3,1,4
11,1,0,0,2,15,0,1,1,302,58,58,16,1,3,0,3
0,1,0,0,0,15,1,1,1,1732,30,30,7,0,3,0,2
0,0,1,1,2,15,0,1,1,3061,55,51,7,0,3,0,4
6,0,0,0,3,11,0,0,0,1342,66,66,18,1,3,2,1
15,1,0,0,1,15,0,1,1,80,27,27,18,0,3,0,3
0,1,0,0,1,0,0,0,0,1647,24,24,12,0,0,1,1
12,1,0,0,1,15,0,1,1,1939,23,23,14,1,0,0,2
0,1,0,0,1,15,0,1,1,5127,27,27,12,1,0,0,0
11,0,0,0,5,7,0,0,0,910,58,58,17,0,3,3,1
35,1,1,1,2,15,0,1,1,703,24,23,4,0,0,0,3
22,0,0,0,0,15,1,1,1,748,55,55,16,1,3,0,3
22,0,1,1,2,5,0,0,0,3029,72,69,18,1,3,2,4
11,0,0,0,2,14,0,0,0,599,75,75,17,0,3,3,3
4,0,0,0,5,15,0,1,1,5742,75,75,8,1,3,0,0
32,1,0,0,3,0,0,0,0,2391,29,29,22,0,3,2,2
35,0,0,0,3,9,0,0,0,915,24,24,21,0,3,3,1
22,0,0,0,2,15,0,1,1,71,50,50,2,0,3,0,3
31,1,0,0,1,0,0,0,0,75,26,26,9,0,3,2,3
0,0,1,1,2,15,0,1,1,4,74,71,18,0,3,0,3
3,1,0,0,2,15,0,1,1,1062,25,25,15,0,3,0,1
6,1,0,0,1,7,0,0,0,1579,22,22,21,0,0,1,1
9,1,1,1,1,8,0,0,0,3646,40,39,1,0,3,1,4
32,1,0,0,1,10,0,0,0,1983,25,25,21,0,3,1,2
20,1,0,0,6,15,0,1,1,4277,48,48,12,1,3,0,0
8,0,0,0,1,15,0,1,1,3707,53,53,1,0,3,0,4
30,0,0,0,1,15,0,1,1,1534,23,23,10,0,3,0,1
30,0,0,0,6,15,0,1,1,320,27,27,18,0,3,0,3
10,0,1,1,0,8,1,0,0,909,49,16,14,0,3,2,1
0,1,0,0,6,15,0,1,1,3395,52,52,20,1,3,0,4
0,0,0,0,1,15,0,1,1,4756,70,70,17,1,3,0,0
22,0,1,1,4,9,0,0,0,567,31,28,18,0,3,2,3
20,1,0,0,0,15,1,1,1,605,38,38,1,0,3,0,3
3,1,0,0,1,15,0,1,1,4919,19,19,1,0,3,0,0
10,1,0,0,2,15,0,1,1,2444,30,30,1,0,3,0,2
0,0,1,1,1,14,0,0,0,2383,64,61,19,0,3,1,2
18,0,0,0,3,14,0,0,0,829,66,66,18,0,3,2,1
8,1,0,0,4,15,0,1,1,188,26,26,1,0,3,0,3
10,0,0,0,1,15,0,1,1,2047,29,29,19,0,3,0,2
33,1,0,0,4,9,0,0,0,3166,34,34,22,1,3,2,4
11,0,0,0,0,5,1,0,0,1934,45,45,22,1,3,2,2
31,0,1,1,2,15,0,1,1,3842,26,23,21,0,3,0,4
0,0,0,0,5,4,0,0,0,46,38,38,8,0,3,2,3
11,1,1,1,4,15,0,1,1,2194,33,32,18,1,3,0,2
11,1,0,0,4,8,0,0,0,1276,41,41,12,0,3,1,1
22,0,1,1,1,0,0,0,0,851,48,45,9,0,3,1,1
0,0,0,0,2,15,0,1,1,1545,26,26,16,0,3,0,1
30,1,0,0,2,0,0,0,0,191,22,22,15,0,3,1,3
30,1,0,0,2,5,0,0,0,742,54,54,17,1,3,2,3
6,0,0,0,0,15,1,1,1,2550,27,27,16,1,3,0,2
2,1,0,0,2,15,0,1,1,1770,24,24,21,1,3,0,2
0,1,0,0,2,7,0,0,0,1128,26,26,22,0,3,2,1
11,0,1,1,4,10,0,0,0,316,35,34,21,0,3,2,3
11,0,1,1,4,15,0,1,1,4734,54,20,22,0,3,0,0
8,0,0,0,1,5,0,0,0,160,42,42,19,0,3,1,3
35,1,0,0,2,7,0,0,0,5146,38,38,4,0,3,1,0
12,0,0,0,4,15,0,1,1,3165,40,40,22,0,3,0,4
0,0,1,1,1,5,0,0,0,581,56,23,1,0,3,1,3
10,1,0,0,0,15,1,1,1,1380,63,63,19,1,3,0,1
10,0,0,0,0,15,1,1,1,1652,75,75,1,0,3,0,1
31,0,0,0,4,15,0,1,1,1232,39,39,21,0,3,0,1
0,1,0,0,3,15,0,1,1,1561,30,30,18,1,3,0,1
30,1,0,0,0,0,1,0,0,3198,23,23,22,0,3,1,4
8,0,1,1,3,15,0,1,1,420,22,21,2,0,3,0,3
8,0,1,0,0,15,1,1,1,1040,50,42,16,0,3,0,1
0,1,0,0,1,15,0,1,1,3886,22,22,20,1,3,0,4
11,0,0,0,3,15,0,1,1,2019,71,71,22,0,3,0,2
0,0,1,1,1,15,0,1,1,1647,65,64,20,0,3,0,1
7,1,0,0,1,15,0,1,1,4742,21,21,22,0,3,0,0
22,1,0,0,2,15,0,1,1,2628,35,35,16,1,3,0,2
11,0,0,0,4,8,0,0,0,654,75,75,3,0,3,3,3
33,0,1,1,2,10,0,0,0,919,48,37,19,0,3,1,1
11,1,0,0,1,9,0,0,0,1306,24,24,21,1,3,2,1
11,1,0,0,2,14,0,0,0,154,62,62,11,1,3,1,3
11,1,0,0,4,15,0,1,1,2364,53,53,12,0,3,0,2
34,0,0,0,2,15,0,1,1,3208,23,23,1,0,0,0,4
14,0,1,1,2,15,0,1,1,711,58,55,18,0,3,0,3
0,0,0,0,4,15,0,1,1,616,52,52,17,1,3,0,3
30,1,0,0,4,8,0,0,0,1333,40,40,21,0,3,1,1
0,0,0,0,4,15,0,1,1,497,52,52,17,0,3,0,3
0,0,0,0,3,2,0,0,0,2272,61,61,19,0,3,1,2
0,0,0,0,4,15,0,1,1,2467,66,66,17,0,3,0,2
13,0,0,0,3,10,0,0,0,5225,58,58,13,0,3,1,0
0,0,0,0,2,5,0,0,0,461,71,71,18,0,3,1,3
0,1,0,0,1,3,0,0,0,434,43,43,22,0,3,1,3
11,1,0,0,2,15,0,1,1,568,26,26,3,0,3,0,3
0,0,0,0,0,2,1,0,0,1368,35,35,16,0,3,1,1
22,0,0,0,1,0,0,0,0,2763,50,50,17,1,3,2,2
30,0,0,0,1,10,0,0,0,139,35,35,6,0,3,2,3
11,1,0,0,1,9,0,0,0,3812,28,28,20,1,3,2,4
31,1,1,1,1,15,0,1,1,2376,26,21,5,0,3,0,2
0,0,0,0,0,5,1,0,0,171,48,48,5,0,3,3,3
22,1,1,0,2,12,0,0,0,1821,55,36,18,0,3,1,2
30,0,0,0,4,15,0,1,1,4032,37,37,22,0,3,0,4
30,1,1,1,6,0,0,0,0,70,47,35,18,0,3,1,3
0,0,0,0,0,5,1,0,0,2272,74,74,19,0,3,2,2
22,1,0,0,0,15,1,1,1,55,22,22,22,1,3,0,3
8,1,0,0,1,12,0,0,0,1013,50,50,12,0,3,1,1
32,0,0,0,4,15,0,1,1,667,23,23,21,0,0,0,3
13,1,1,0,1,15,0,1,1,4870,40,19,13,0,3,0,0
11,0,0,0,2,15,0,1,1,2903,53,53,15,1,3,0,4
11,0,0,0,4,8,0,0,0,864,75,75,14,0,3,2,1
11,0,0,0,1,15,0,1,1,2152,47,47,21,0,3,0,2
35,1,1,0,1,15,0,1,1,540,44,19,14,0,3,0,3
33,1,0,0,0,15,1,1,1,274,23,23,19,0,3,0,3
0,1,1,1,2,12,0,0,0,1383,57,50,20,0,3,2,1
10,1,0,0,1,0,0,0,0,655,31,31,19,1,3,1,3
0,1,0,0,2,13,0,0,0,2222,39,39,16,0,3,1,2
2,0,0,0,6,15,0,1,1,3443,24,24,21,0,3,0,4
9,1,0,0,0,15,1,1,1,2187,30,30,16,0,3,0,2
17,1,0,0,0,15,1,1,1,1266,20,20,19,0,0,0,1
11,0,0,0,4,13,0,0,0,1707,45,45,15,1,3,3,1
33,0,0,0,0,15,1,1,1,389,22,22,15,1,3,0,3
11,0,0,0,2,15,0,1,1,2329,27,27,18,0,3,0,2
9,1,0,0,2,15,0,1,1,1546,22,22,22,1,3,0,1
1,1,0,0,3,0,0,0,0,1796,26,26,21,0,3,2,2
35,0,0,0,0,2,1,0,0,967,43,43,4,0,3,2,1
0,1,0,0,2,12,0,0,0,3635,35,35,19,0,3,1,4
33,1,0,0,0,15,1,1,1,2588,47,47,12,1,3,0,2
11,0,0,0,4,15,0,1,1,3241,51,51,18,0,3,0,4
0,0,0,0,4,12,0,0,0,268,72,72,21,0,3,2,3
33,0,0,0,0,15,1,1,1,2904,27,27,4,0,0,0,4
0,1,0,0,3,15,0,1,1,4160,26,26,22,0,3,0,0
13,0,0,0,5,1,0,0,0,5153,40,40,14,0,3,2,0
11,1,0,0,1,15,0,1,1,5294,24,24,14,0,0,0,0
33,0,0,0,3,15,0,1,1,196,60,60,12,1,3,0,3
12,1,0,0,0,15,1,1,1,2510,54,54,21,0,3,0,2
11,1,0,0,1,15,0,1,1,3420,27,27,21,0,3,0,4
8,0,0,0,0,9,1,0,0,2978,26,26,1,0,3,1,4
22,1,0,0,0,15,1,1,1,28,22,22,21,1,3,0,3
30,1,0,0,1,15,0,1,1,199,24,24,7,0,2,0,3
9,0,1,0,1,10,0,0,0,3328,75,22,17,0,3,1,4
12,1,0,0,0,15,1,1,1,414,23,23,22,1,0,0,3
13,1,0,0,2,3,0,0,0,5203,35,35,20,1,3,1,0
11,1,0,0,3,15,0,1,1,3839,21,21,13,0,0,0,4
35,1,0,0,4,9,0,0,0,995,60,60,21,0,3,2,1
8,0,0,0,2,5,0,0,0,3742,51,51,18,1,3,1,4
19,0,0,0,0,10,1,0,0,3469,26,26,4,0,2,2,4
11,0,0,0,2,15,0,1,1,746,58,58,3,1,3,0,3
30,0,1,0,4,15,0,1,1,1638,44,39,19,0,3,0,1
22,1,0,0,4,12,0,0,0,41,40,40,16,0,3,3,3
0,0,1,1,2,15,0,1,1,1819,55,42,21,0,3,0,2
11,0,0,0,1,15,0,1,1,832,62,62,22,0,3,0,1
9,0,1,1,2,15,0,1,1,2187,50,19,22,0,3,0,2
11,0,0,0,1,6,0,0,0,1322,43,43,22,1,3,2,1
32,1,0,0,0,15,1,1,1,2786,23,23,1,0,0,0,2
11,1,0,0,0,14,1,0,0,560,31,31,3,0,3,1,3
30,1,0,0,0,7,1,0,0,2658,65,65,19,1,3,1,2
35,0,1,1,5,10,0,0,0,3503,50,49,4,0,3,3,4
14,1,0,0,2,15,0,1,1,1511,21,21,16,1,3,0,1
22,1,0,0,2,15,0,1,1,2593,21,21,18,0,0,0,2
15,1,0,0,3,10,0,0,0,1374,25,25,20,0,3,2,1
11,1,0,0,4,15,0,1,1,3400,22,22,22,1,3,0,4
33,0,1,1,8,11,0,0,0,5777,60,58,2,0,3,3,0
0,1,0,0,2,15,0,1,1,142,25,25,19,0,3,0,3
13,1,0,0,0,15,1,1,1,4399,23,23,18,0,3,0,0
0,0,1,1,1,0,0,0,0,5,60,53,16,0,3,1,3
17,1,0,0,1,8,0,0,0,2451,33,33,21,0,3,2,2
35,0,1,1,1,7,0,0,0,10,73,67,21,1,3,2,3
11,0,1,0,4,1,0,0,0,3728,48,19,15,1,3,2,4
9,0,1,1,0,0,1,0,0,1238,57,40,16,0,3,1,1
14,1,0,0,1,9,0,0,0,2108,25,25,18,1,3,2,2
3,1,1,1,0,7,1,0,0,84,56,45,19,0,3,1,3
35,0,0,0,4,0,0,0,0,1009,55,55,4,0,3,2,1
30,1,0,0,1,15,0,1,1,942,40,40,22,1,3,0,1
0,0,0,0,5,15,0,1,1,300,67,67,17,0,3,0,3
34,0,1,1,4,11,0,0,0,5240,45,44,1,0,3,2,0
0,0,1,1,2,15,0,1,1,1260,44,43,21,1,3,0,1
8,0,0,0,0,9,1,0,0,328,48,48,20,0,3,1,3
11,0,0,0,4,8,0,0,0,4300,41,41,14,0,3,2,0
32,1,0,0,6,15,0,1,1,122,24,24,22,0,0,0,3
8,0,0,0,0,15,1,1,1,200,56,56,12,0,3,0,3
15,0,0,0,1,8,0,0,0,1,68,68,18,0,3,1,3
11,1,0,0,1,13,0,0,0,3598,64,64,2,0,3,1,4
34,0,1,1,0,15,1,1,1,1042,34,33,13,0,3,0,1
26,0,0,0,7,9,0,0,0,2063,59,59,16,0,3,3,2
11,0,0,0,1,0,0,0,0,661,28,28,22,1,3,2,3
18,0,0,0,0,5,1,0,0,88,75,75,21,0,3,1,3
26,1,0,0,1,15,0,1,1,4027,19,19,2,0,0,0,4
1,1,0,0,1,7,0,0,0,1253,25,25,2,1,0,1,1
0,1,1,1,1,6,0,0,0,4529,59,55,22,0,3,2,0
0,1,0,0,1,15,0,1,1,697,25,25,16,0,2,0,3
1,0,1,1,2,8,0,0,0,405,54,48,18,0,3,2,3
2,1,0,0,1,15,0,1,1,2099,47,47,20,0,3,0,2
32,0,0,0,0,0,1,0,0,830,29,29,21,0,0,1,1
22,0,1,0,3,9,0,0,0,1243,58,27,18,1,3,2,1
